timestamp,open,high,low,close,volume
2019-08-07 16:00:00,6.195,6.23,6.17,6.17,197353
2019-08-07 15:55:00,6.255,6.255,6.19,6.19,115453
2019-08-07 15:50:00,6.22,6.28,6.2,6.251,157054
2019-08-07 15:45:00,6.14,6.22,6.115,6.22,104672
2019-08-07 15:40:00,6.005,6.14,6.0,6.14,126172
2019-08-07 15:35:00,6.05,6.06,6.005,6.01,46851
2019-08-07 15:30:00,6.035,6.06,6.03,6.055,26705
2019-08-07 15:25:00,6.04,6.05,6.025,6.03,20039
2019-08-07 15:20:00,6.01,6.04,6.0,6.035,40195
2019-08-07 15:15:00,6.005,6.02,5.98,6.015,26495
2019-08-07 15:10:00,6.025,6.03,6.0,6.005,26802
2019-08-07 15:05:00,6.05,6.05,6.01,6.025,31467
2019-08-07 15:00:00,6.03,6.06,6.02,6.06,15396
2019-08-07 14:55:00,6.02,6.05,6.01,6.03,33297
2019-08-07 14:50:00,5.97,6.02,5.965,6.02,36256
2019-08-07 14:45:00,5.955,5.98,5.95,5.975,14451
2019-08-07 14:40:00,5.97,5.97,5.95,5.955,17648
2019-08-07 14:35:00,5.97,5.97,5.95,5.965,10177
2019-08-07 14:30:00,5.935,5.965,5.935,5.965,24469
2019-08-07 14:25:00,5.955,5.965,5.925,5.935,20171
2019-08-07 14:20:00,5.99,5.995,5.935,5.955,29331
2019-08-07 14:15:00,6.015,6.015,5.995,5.995,18079
2019-08-07 14:10:00,6.03,6.03,6.015,6.02,20223
2019-08-07 14:05:00,6.025,6.04,6.02,6.03,15301
2019-08-07 14:00:00,6.035,6.04,6.01,6.025,30981
2019-08-07 13:55:00,6.04,6.055,6.03,6.035,15764
2019-08-07 13:50:00,6.02,6.04,6.02,6.0375,20115
2019-08-07 13:45:00,6.0,6.025,5.995,6.025,15671
2019-08-07 13:40:00,6.015,6.015,5.99,5.995,9138
2019-08-07 13:35:00,5.985,6.02,5.985,6.015,20426
2019-08-07 13:30:00,5.985,6.0058,5.975,5.985,17147
2019-08-07 13:25:00,5.99,6.0,5.97,5.9868,26674
2019-08-07 13:20:00,6.005,6.01,5.98,5.995,18082
2019-08-07 13:15:00,6.02,6.035,5.995,6.0,17929
2019-08-07 13:10:00,6.0,6.02,5.995,6.02,93267
2019-08-07 13:05:00,5.995,6.015,5.985,6.01,22880
2019-08-07 13:00:00,6.0,6.015,5.995,6.0,23713
2019-08-07 12:55:00,6.05,6.06,6.0,6.0,61795
2019-08-07 12:50:00,6.09,6.09,6.045,6.05,21712
2019-08-07 12:45:00,6.08,6.1,6.07,6.085,20926
2019-08-07 12:40:00,6.08,6.1,6.08,6.085,19009
2019-08-07 12:35:00,6.065,6.11,6.04,6.075,40505
2019-08-07 12:30:00,6.06,6.08,6.05,6.065,28533
2019-08-07 12:25:00,6.055,6.055,6.03,6.055,36857
2019-08-07 12:20:00,6.085,6.1,6.055,6.055,28713
2019-08-07 12:15:00,6.105,6.11,6.055,6.085,48862
2019-08-07 12:10:00,6.045,6.11,6.045,6.105,49983
2019-08-07 12:05:00,6.02,6.075,6.02,6.045,40660
2019-08-07 12:00:00,6.0,6.035,6.0,6.02,36865
2019-08-07 11:55:00,6.03,6.03,5.985,6.0,72202
2019-08-07 11:50:00,6.06,6.075,6.03,6.035,31255
2019-08-07 11:45:00,6.05,6.09,6.035,6.06,32025
2019-08-07 11:40:00,6.15,6.15,6.0536,6.055,47350
2019-08-07 11:35:00,6.1,6.16,6.09,6.14,54999
2019-08-07 11:30:00,6.135,6.15,6.1,6.105,29891
2019-08-07 11:25:00,6.12,6.16,6.11,6.13,51317
2019-08-07 11:20:00,6.08,6.12,6.07,6.11,30850
2019-08-07 11:15:00,6.1,6.11,6.04,6.08,57590
2019-08-07 11:10:00,6.015,6.105,6.0,6.105,88337
2019-08-07 11:05:00,6.03,6.035,5.985,6.015,60837
2019-08-07 11:00:00,6.015,6.04,6.01,6.03,58008
2019-08-07 10:55:00,6.01,6.05,6.005,6.015,53882
2019-08-07 10:50:00,6.015,6.025,5.97,6.0,64730
2019-08-07 10:45:00,5.96,6.025,5.95,6.015,68835
2019-08-07 10:40:00,5.88,5.955,5.875,5.955,48529
2019-08-07 10:35:00,5.82,5.91,5.765,5.875,216152
2019-08-07 10:30:00,5.8543,5.8739,5.8,5.825,49216
2019-08-07 10:25:00,5.93,5.94,5.84,5.85,53696
2019-08-07 10:20:00,5.9999,6.03,5.925,5.93,56769
2019-08-07 10:15:00,6.014,6.04,5.97,6.0,54004
2019-08-07 10:10:00,5.85,6.02,5.845,6.01,71926
2019-08-07 10:05:00,5.95,5.96,5.8,5.84,195673
2019-08-07 10:00:00,5.98,5.98,5.88,5.95,94746
2019-08-07 09:55:00,6.03,6.05,5.97,5.98,72830
2019-08-07 09:50:00,6.08,6.08,6.0,6.0401,72433
2019-08-07 09:45:00,6.1,6.125,6.04,6.07,126500
2019-08-07 09:40:00,5.96,6.16,5.94,6.14,93098
2019-08-07 09:35:00,6.19,6.19,5.92,5.95,43519
2019-08-06 16:00:00,6.355,6.36,6.35,6.36,128717
2019-08-06 15:55:00,6.375,6.38,6.35,6.355,140999
2019-08-06 15:50:00,6.375,6.38,6.37,6.375,62733
2019-08-06 15:45:00,6.345,6.39,6.33,6.3761,202370
2019-08-06 15:40:00,6.335,6.35,6.335,6.345,51067
2019-08-06 15:35:00,6.345,6.35,6.32,6.335,91850
2019-08-06 15:30:00,6.365,6.365,6.34,6.345,28490
2019-08-06 15:25:00,6.36,6.38,6.35,6.365,52022
2019-08-06 15:20:00,6.34,6.36,6.29,6.355,101032
2019-08-06 15:15:00,6.265,6.345,6.26,6.335,49240
2019-08-06 15:10:00,6.295,6.33,6.26,6.265,59213
2019-08-06 15:05:00,6.32,6.35,6.29,6.295,65698
2019-08-06 15:00:00,6.38,6.38,6.3,6.32,60886
2019-08-06 14:55:00,6.37,6.38,6.37,6.38,24195
2019-08-06 14:50:00,6.37,6.375,6.3301,6.37,41774
2019-08-06 14:45:00,6.355,6.38,6.33,6.38,38773
2019-08-06 14:40:00,6.35,6.36,6.34,6.35,60486
2019-08-06 14:35:00,6.335,6.355,6.32,6.355,44428
2019-08-06 14:30:00,6.3035,6.34,6.3035,6.34,38575
2019-08-06 14:25:00,6.32,6.34,6.29,6.3001,56761
2019-08-06 14:20:00,6.235,6.32,6.235,6.32,88612
2019-08-06 14:15:00,6.2,6.27,6.19,6.24,81844
2019-08-06 14:10:00,6.165,6.2,6.164,6.2,22464
2019-08-06 14:05:00,6.165,6.17,6.16,6.165,33314
2019-08-06 14:00:00,6.155,6.17,6.15,6.165,20300
2019-08-06 13:55:00,6.185,6.2,6.15,6.16,44879
2019-08-06 13:50:00,6.155,6.19,6.15,6.19,64809
2019-08-06 13:45:00,6.155,6.16,6.15,6.155,16977
2019-08-06 13:40:00,6.15,6.17,6.15,6.155,19548
2019-08-06 13:35:00,6.15,6.17,6.145,6.15,20674
2019-08-06 13:30:00,6.165,6.165,6.1401,6.1401,25181
2019-08-06 13:25:00,6.135,6.19,6.13,6.165,86900
2019-08-06 13:20:00,6.1454,6.1454,6.13,6.135,11856
2019-08-06 13:15:00,6.145,6.15,6.14,6.145,11739
2019-08-06 13:10:00,6.15,6.165,6.145,6.15,16997
2019-08-06 13:05:00,6.145,6.165,6.13,6.155,36004
2019-08-06 13:00:00,6.14,6.15,6.135,6.14,12631
2019-08-06 12:55:00,6.095,6.15,6.09,6.135,40435
2019-08-06 12:50:00,6.095,6.1,6.09,6.095,14257
2019-08-06 12:45:00,6.12,6.12,6.09,6.095,19971
2019-08-06 12:40:00,6.085,6.12,6.07,6.11,62376
2019-08-06 12:35:00,6.095,6.095,6.08,6.085,14045
2019-08-06 12:30:00,6.075,6.11,6.075,6.09,23935
2019-08-06 12:25:00,6.07,6.09,6.0501,6.07,35248
2019-08-06 12:20:00,6.105,6.11,6.065,6.065,17065
2019-08-06 12:15:00,6.13,6.16,6.1,6.11,66667
2019-08-06 12:10:00,6.11,6.13,6.1,6.125,42513
2019-08-06 12:05:00,6.11,6.11,6.07,6.105,33653
2019-08-06 12:00:00,6.04,6.12,6.03,6.105,44230
2019-08-06 11:55:00,6.01,6.08,6.01,6.04,36550
2019-08-06 11:50:00,6.06,6.09,5.98,6.01,49467
2019-08-06 11:45:00,6.06,6.09,6.055,6.055,33288
2019-08-06 11:40:00,6.055,6.12,6.05,6.05,67166
2019-08-06 11:35:00,6.15,6.21,6.05,6.05,213979
2019-08-06 11:30:00,6.02,6.16,6.0199,6.16,90235
2019-08-06 11:25:00,5.985,6.02,5.98,6.02,46878
2019-08-06 11:20:00,5.96,5.99,5.96,5.985,38301
2019-08-06 11:15:00,5.93,5.965,5.92,5.965,58476
2019-08-06 11:10:00,5.8365,5.93,5.83,5.93,55279
2019-08-06 11:05:00,5.83,5.84,5.83,5.8301,20975
2019-08-06 11:00:00,5.855,5.855,5.83,5.83,27550
2019-08-06 10:55:00,5.815,5.86,5.81,5.86,30390
2019-08-06 10:50:00,5.815,5.85,5.8,5.82,51014
2019-08-06 10:45:00,5.8,5.84,5.8,5.815,72493
2019-08-06 10:40:00,5.775,5.81,5.76,5.81,45202
2019-08-06 10:35:00,5.75,5.8,5.74,5.78,48305
2019-08-06 10:30:00,5.7,5.78,5.66,5.76,85010
2019-08-06 10:25:00,5.65,5.7,5.64,5.6992,60897
2019-08-06 10:20:00,5.6528,5.66,5.58,5.66,123165
2019-08-06 10:15:00,5.6535,5.71,5.63,5.66,61872
2019-08-06 10:10:00,5.785,5.785,5.63,5.65,163386
2019-08-06 10:05:00,5.785,5.84,5.78,5.78,77391
2019-08-06 10:00:00,5.805,5.805,5.78,5.79,87420
2019-08-06 09:55:00,5.835,5.85,5.765,5.805,232700
2019-08-06 09:50:00,5.99,5.99,5.82,5.84,103262
2019-08-06 09:45:00,6.015,6.04,5.97,6.0,65349
2019-08-06 09:40:00,6.175,6.179,6.01,6.0143,86680
2019-08-06 09:35:00,6.23,6.29,6.17,6.175,123852
2019-08-05 16:00:00,6.09,6.17,6.08,6.17,460038
2019-08-05 15:55:00,6.025,6.09,6.02,6.09,253708
2019-08-05 15:50:00,5.98,6.03,5.97,6.025,162453
2019-08-05 15:45:00,5.975,5.98,5.97,5.975,196097
2019-08-05 15:40:00,6.005,6.005,5.97,5.97,147242
2019-08-05 15:35:00,5.96,6.01,5.95,6.01,232070
2019-08-05 15:30:00,5.9501,5.9782,5.95,5.97,71790
2019-08-05 15:25:00,5.96,5.98,5.94,5.955,183746
2019-08-05 15:20:00,5.9801,5.99,5.96,5.96,72307
2019-08-05 15:15:00,5.995,5.995,5.95,5.985,150452
2019-08-05 15:10:00,5.995,6.0,5.99,5.995,37346
2019-08-05 15:05:00,6.005,6.02,5.99,5.995,45755
2019-08-05 15:00:00,5.995,6.01,5.99,6.005,55896
2019-08-05 14:55:00,6.025,6.03,5.98,5.995,40457
2019-08-05 14:50:00,5.955,6.03,5.955,6.025,92063
2019-08-05 14:45:00,5.98,5.985,5.95,5.955,36693
2019-08-05 14:40:00,5.945,5.98,5.945,5.98,68812
2019-08-05 14:35:00,5.975,5.98,5.925,5.95,52044
2019-08-05 14:30:00,6.015,6.06,5.97,5.98,113763
2019-08-05 14:25:00,6.015,6.02,6.01,6.01,19917
2019-08-05 14:20:00,5.985,6.03,5.98,6.0125,40837
2019-08-05 14:15:00,5.935,5.99,5.93,5.985,60755
2019-08-05 14:10:00,5.965,5.97,5.915,5.935,120091
2019-08-05 14:05:00,6.035,6.04,5.96,5.965,97325
2019-08-05 14:00:00,6.035,6.04,6.03,6.035,20111
2019-08-05 13:55:00,6.065,6.065,6.03,6.0325,17519
2019-08-05 13:50:00,6.08,6.09,6.065,6.065,26483
2019-08-05 13:45:00,6.03,6.09,6.0201,6.07,81351
2019-08-05 13:40:00,6.05,6.06,6.02,6.03,32912
2019-08-05 13:35:00,6.03,6.07,6.03,6.055,135873
2019-08-05 13:30:00,6.035,6.04,6.03,6.0352,30820
2019-08-05 13:25:00,6.03,6.04,6.02,6.035,35892
2019-08-05 13:20:00,5.975,6.03,5.975,6.025,52470
2019-08-05 13:15:00,5.975,5.98,5.97,5.975,51672
2019-08-05 13:10:00,5.975,5.98,5.97,5.975,44984
2019-08-05 13:05:00,5.96,5.98,5.96,5.975,66426
2019-08-05 13:00:00,5.935,5.96,5.9,5.96,57929
2019-08-05 12:55:00,5.925,5.94,5.92,5.93,58631
2019-08-05 12:50:00,5.925,5.93,5.92,5.925,35055
2019-08-05 12:45:00,5.905,5.93,5.8802,5.925,94801
2019-08-05 12:40:00,5.885,5.92,5.87,5.905,93322
2019-08-05 12:35:00,5.905,5.93,5.86,5.885,109373
2019-08-05 12:30:00,6.005,6.005,5.9,5.91,87187
2019-08-05 12:25:00,6.08,6.11,6.0001,6.005,98611
2019-08-05 12:20:00,6.0101,6.085,6.0101,6.075,80781
2019-08-05 12:15:00,5.97,6.03,5.95,6.015,79140
2019-08-05 12:10:00,6.03,6.035,5.9525,5.965,74137
2019-08-05 12:05:00,6.045,6.06,5.995,6.035,156573
2019-08-05 12:00:00,6.08,6.085,6.03,6.04,91209
2019-08-05 11:55:00,6.17,6.2,6.04,6.085,118990
2019-08-05 11:50:00,6.135,6.17,6.13,6.17,42987
2019-08-05 11:45:00,6.25,6.255,6.12,6.13,44148
2019-08-05 11:40:00,6.225,6.275,6.215,6.25,78297
2019-08-05 11:35:00,6.16,6.23,6.15,6.23,94441
2019-08-05 11:30:00,6.21,6.215,6.1201,6.155,79510
2019-08-05 11:25:00,6.215,6.2377,6.2,6.227,44293
2019-08-05 11:20:00,6.2368,6.25,6.21,6.21,51782
2019-08-05 11:15:00,6.225,6.28,6.1801,6.24,87184
2019-08-05 11:10:00,6.22,6.24,6.1501,6.22,99612
2019-08-05 11:05:00,6.16,6.2393,6.16,6.225,71586
2019-08-05 11:00:00,6.235,6.235,6.1501,6.165,97865
2019-08-05 10:55:00,6.3,6.33,6.23,6.23,47658
2019-08-05 10:50:00,6.24,6.3,6.2,6.3,103902
2019-08-05 10:45:00,6.3,6.32,6.23,6.23,64621
2019-08-05 10:40:00,6.35,6.48,6.29,6.29,132904
2019-08-05 10:35:00,6.26,6.3409,6.181,6.3409,331879
2019-08-05 10:30:00,6.2,6.28,6.15,6.2734,59095
2019-08-05 10:25:00,6.225,6.29,6.195,6.195,107209
2019-08-05 10:20:00,6.16,6.23,6.09,6.225,94449
2019-08-05 10:15:00,6.1,6.21,6.08,6.17,91814
2019-08-05 10:10:00,6.29,6.29,6.08,6.11,174401
2019-08-05 10:05:00,6.185,6.32,6.18,6.29,141130
2019-08-05 10:00:00,6.14,6.2,6.02,6.18,127283
2019-08-05 09:55:00,5.815,6.19,5.8001,6.16,142351
2019-08-05 09:50:00,5.95,5.9984,5.78,5.82,252083
2019-08-05 09:45:00,5.54,6.1,5.47,5.99,379679
2019-08-05 09:40:00,5.37,5.6,5.33,5.5448,266777
2019-08-05 09:35:00,6.05,6.06,5.36,5.37,570185
2019-08-02 16:00:00,7.44,7.44,7.4,7.41,199773
2019-08-02 15:55:00,7.45,7.45,7.43,7.43,135660
2019-08-02 15:50:00,7.43,7.45,7.42,7.45,84370
2019-08-02 15:45:00,7.405,7.43,7.4,7.4274,89802
2019-08-02 15:40:00,7.325,7.41,7.325,7.41,93549
2019-08-02 15:35:00,7.34,7.34,7.31,7.325,72729
2019-08-02 15:30:00,7.32,7.34,7.3101,7.335,53341
2019-08-02 15:25:00,7.335,7.34,7.315,7.315,51473
2019-08-02 15:20:00,7.36,7.37,7.335,7.335,94494
2019-08-02 15:15:00,7.4,7.405,7.36,7.36,32720
2019-08-02 15:10:00,7.42,7.42,7.4,7.405,26756
2019-08-02 15:05:00,7.415,7.45,7.4101,7.415,52285
2019-08-02 15:00:00,7.42,7.42,7.41,7.415,29390
2019-08-02 14:55:00,7.42,7.425,7.41,7.415,11251
2019-08-02 14:50:00,7.45,7.45,7.42,7.425,25884
2019-08-02 14:45:00,7.45,7.455,7.45,7.455,11305
2019-08-02 14:40:00,7.44,7.46,7.44,7.455,17043
2019-08-02 14:35:00,7.4201,7.45,7.405,7.445,46466
2019-08-02 14:30:00,7.43,7.4361,7.42,7.42,17344
