timestamp,open,high,low,close,volume
2019-08-07 16:00:00,273.85,274.855,273.85,274.21,172668
2019-08-07 15:55:00,274.035,274.08,273.72,273.81,75009
2019-08-07 15:50:00,274.35,274.59,274.0,274.05,40317
2019-08-07 15:45:00,274.74,274.74,274.2585,274.45,45075
2019-08-07 15:40:00,274.54,274.82,274.3399,274.74,44722
2019-08-07 15:35:00,274.29,274.59,274.16,274.54,45145
2019-08-07 15:30:00,274.06,274.37,273.75,274.29,21609
2019-08-07 15:25:00,273.9836,274.23,273.98,274.05,44004
2019-08-07 15:20:00,273.625,274.0,273.27,273.89,29699
2019-08-07 15:15:00,273.48,273.63,273.42,273.53,22285
2019-08-07 15:10:00,273.45,273.64,273.35,273.44,33703
2019-08-07 15:05:00,273.93,273.9556,273.11,273.425,44063
2019-08-07 15:00:00,273.8937,273.98,273.5,273.96,16525
2019-08-07 14:55:00,273.78,274.08,273.6626,273.9369,19741
2019-08-07 14:50:00,274.1171,274.21,273.68,273.722,33225
2019-08-07 14:45:00,273.4,274.21,273.34,274.1649,21368
2019-08-07 14:40:00,273.51,273.59,273.3,273.4,22335
2019-08-07 14:35:00,273.37,273.72,273.35,273.51,25774
2019-08-07 14:30:00,272.79,273.46,272.72,273.439,24831
2019-08-07 14:25:00,272.92,273.06,272.7,272.815,29683
2019-08-07 14:20:00,273.33,273.42,272.85,272.89,46149
2019-08-07 14:15:00,273.42,273.5,273.21,273.36,22040
2019-08-07 14:10:00,273.06,273.45,273.06,273.36,19166
2019-08-07 14:05:00,272.51,273.06,272.51,273.06,22047
2019-08-07 14:00:00,272.83,272.83,272.43,272.44,21907
2019-08-07 13:55:00,272.99,273.0,272.64,272.73,35539
2019-08-07 13:50:00,272.635,272.94,272.5799,272.919,24385
2019-08-07 13:45:00,272.58,272.99,272.57,272.633,35282
2019-08-07 13:40:00,271.88,272.43,271.86,272.4085,20180
2019-08-07 13:35:00,271.24,272.08,271.2201,271.84,22514
2019-08-07 13:30:00,271.11,271.3557,270.9843,271.24,13018
2019-08-07 13:25:00,271.3023,271.4308,271.14,271.14,12354
