,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2018-05-24,VEEV,Veeva Systems I...,"25,042",amc,0.3,0.33,+0.03 ,+10.00% ,-0.17%
2018-05-24,BBY,"Best Buy Co., I...","19,198",bmo,0.75,0.82,+0.07 ,+9.33% ,-6.65%
2018-05-24,MDT,Medtronic Plc,"131,581",bmo,1.38,1.42,+0.04 ,+2.90% ,2.03%
2018-05-24,SPLK,Splunk Inc.,"19,570",amc,-0.09,-0.07,+0.02 ,+22.22% ,-5.20%
2018-05-24,SCVL,"Shoe Carnival,...",423,amc,0.75,0.83,+0.08 ,+10.67% ,20.73%
2018-05-24,ROST,"Ross Stores, In...","36,790",amc,1.06,1.11,+0.05 ,+4.72% ,-6.77%
2018-05-24,NTNX,Nutanix Inc.,"4,907",amc,-0.2,-0.21,-0.01 ,-5.00% ,-5.17%
2018-05-24,TD,Toronto Dominio...,"108,684",bmo,1.17,1.27,+0.10 ,+8.55% ,-0.07%
2018-05-24,DECK,Deckers Outdoor...,"5,154",amc,0.18,0.5,+0.32 ,+177.78% ,3.54%
2018-05-24,ADSK,"Autodesk, Inc.","37,825",amc,0.03,0.06,+0.03 ,+100.00% ,-4.44%
2018-05-24,HRL,Hormel Foods Co...,"22,231",bmo,0.45,0.44,-0.01 ,-2.22% ,-1.12%
2018-05-24,DXC,Dxc Technology...,"15,043",amc,2.19,2.28,+0.09 ,+4.11% ,-5.51%
2018-05-24,RY,Royal Bank Of C...,"116,123",bmo,1.62,1.65,+0.03 ,+1.85% ,-2.47%
2018-05-24,MCK,Mckesson Corpor...,"26,098",bmo,3.54,3.49,-0.05 ,-1.41% ,-1.91%
2018-05-24,GPS,"The Gap, Inc.","6,917",amc,0.45,0.42,-0.03 ,-6.67% ,-14.57%
2018-05-24,SQM,Sociedad Quimic...,"7,927",amc,0.44,0.43,-0.01 ,-2.27% ,2.07%
2018-05-24,LGF.A,Lions Gate Ente...,"2,785",amc,0.19,0.25,+0.06 ,+31.58% ,4.75%
2018-05-24,YRD,Yirendai Ltd.,800,amc,0.99,1.72,+0.73 ,+73.74% ,-3.78%
2018-05-24,TTC,Toro Company (t...,"7,118",bmo,1.19,1.2,+0.01 ,+0.84% ,2.73%
2018-05-24,VSAT,Viasat Inc.,"5,003",amc,-0.19,-0.05,+0.14 ,+73.68% ,1.29%
2018-05-24,SAFM,Sanderson Farms...,"3,155",bmo,1.92,1.84,-0.08 ,-4.17% ,-0.93%
2018-05-24,BRC,Brady Corporati...,"2,608",bmo,0.49,0.49,0.00 ,0.00% ,0.00%
2018-05-24,EGHT,8x8 Inc,"2,383",amc,0.0,-0.03,--,--,-15.87%
2018-05-24,PLUS,Eplus Inc.,992,amc,0.99,0.96,-0.03 ,-3.03% ,-0.39%
2018-05-24,BVNRY,Bavarian Nordic...,802,bmo,-0.25,-0.31,-0.06 ,-24.00% ,0.00%
