,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2017-11-10,JCP,J. C. Penney Co...,368,bmo,-0.43,--,--,--,15.27%
2017-11-10,MT,Arcelormittal,"17,634",bmo,0.86,--,--,--,3.52%
2017-11-10,BSTC,Biospecifics Te...,439,--,0.36,--,--,--,--
2017-11-10,PVG,Pretium Resourc...,"1,860",--,0.14,--,--,--,--
2017-11-10,ESES,Eco-stim Energy...,0,bmo,-0.24,--,--,--,-3.31%
2017-11-10,CAE,Cae Inc,"7,355",bmo,0.19,--,--,--,-3.33%
2017-11-10,PAM,Pampa Energia S...,"2,470",--,0.14,--,--,--,--
2017-11-10,OBE,Obsidian Energy...,77,bmo,-0.35,--,--,--,0.83%
2017-11-10,HSDT,Helius Medical...,51,--,-0.25,--,--,--,--
2017-11-10,TRIL,Trillium Therap...,10,--,-0.86,--,--,--,--
2017-11-10,ESEA,Euroseas Ltd.,8,bmo,-0.12,--,--,--,-9.22%
