,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2019-07-17,NFLX,"Netflix, Inc.","137,768",amc,0.56,0.6,0.04,+7.14% ,-10.27%
2019-07-17,BAC,Bank Of America...,"279,541",bmo,0.7,0.74,0.04,+5.71% ,0.69%
2019-07-17,IBM,International B...,"132,713",amc,3.06,3.17,0.11,+3.59% ,4.59%
2019-07-17,ERIC,Ericsson,"29,506",bmo,0.07,0.06,-0.01,-14.29% ,-10.95%
2019-07-17,KMI,"Kinder Morgan,...","46,407",amc,0.23,0.22,-0.01,-4.35% ,-0.83%
2019-07-17,ABT,Abbott Laborato...,"154,348",bmo,0.8,0.82,0.02,+2.50% ,3.13%
2019-07-17,URI,"United Rentals,...","9,181",amc,4.48,4.74,0.26,+5.80% ,-7.89%
2019-07-17,PGR,The Progressive...,"46,707",bmo,1.43,1.66,0.23,+16.08% ,-4.66%
2019-07-17,AA,Alcoa Corp.,"4,287",amc,-0.34,-0.01,0.33,+97.06% ,1.12%
2019-07-17,EBAY,Ebay Inc.,"33,727",amc,0.62,0.68,0.06,+9.68% ,1.90%
2019-07-17,USB,U.s. Bancorp,"87,563",bmo,1.07,1.09,0.02,+1.87% ,2.22%
2019-07-17,TXT,Textron Inc.,"11,438",bmo,0.85,0.93,0.08,+9.41% ,-9.53%
2019-07-17,CCI,Crown Castle In...,"52,167",amc,1.43,0.52,-0.91,-63.64% ,-3.61%
2019-07-17,PNC,The Pnc Financi...,"62,673",bmo,2.83,2.88,0.05,+1.77% ,0.66%
2019-07-17,BK,The Bank Of New...,"43,347",bmo,0.94,1.01,0.07,+7.45% ,2.34%
2019-07-17,CMA,Comerica Incorp...,"10,895",bmo,2.01,1.94,-0.07,-3.48% ,-3.57%
2019-07-17,ASML,Asml Holding N....,"94,210",bmo,1.09,1.27,0.18,+16.51% ,6.18%
2019-07-17,LLNW,Limelight Netwo...,274,amc,-0.01,-0.03,-0.02,-200.00% ,-10.18%
2019-07-17,OMC,Omnicom Group I...,"17,350",bmo,1.61,1.68,0.07,+4.35% ,-2.92%
2019-07-17,ASAZY,Assa Abloy Ab,"25,968",--,0.13,0.12,-0.01,-7.69% ,--
2019-07-17,WIT,Wipro Limited,"25,033",bmo,0.06,0.06,0.0,0.00% ,-0.72%
2019-07-17,SDVKY,Sandvik Ab,"20,171",bmo,0.32,0.3,-0.02,-6.25% ,-4.00%
2019-07-17,CCK,"Crown Holdings,...","8,053",amc,1.49,1.46,-0.03,-2.01% ,0.34%
2019-07-17,SKFRY,Ab Skf,"7,764",bmo,0.36,0.35,-0.01,-2.78% ,3.17%
2019-07-17,SLG,Sl Green Realty...,"6,870",amc,1.73,1.94,0.21,+12.14% ,2.63%
