,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2018-02-09,PCG,Pacific Gas & E...,"11,532",bmo,0.69,--,--,--,0.86%
2018-02-09,VTR,"Ventas, Inc.","25,014",bmo,1.03,--,--,--,1.32%
2018-02-09,BIP,Brookfield Infr...,"15,147",bmo,0.82,--,--,--,0.27%
2018-02-09,BGCP,"Bgc Partners, I...","1,865",bmo,0.28,--,--,--,-2.11%
2018-02-09,BPL,Buckeye Partner...,"6,338",bmo,0.88,--,--,--,-0.62%
2018-02-09,CCJ,Cameco Corporat...,"4,279",bmo,0.29,--,--,--,-4.48%
2018-02-09,MBUU,"Malibu Boats, I...",834,bmo,0.48,--,--,--,11.33%
2018-02-09,CBOE,Cboe Global Mar...,"12,324",bmo,0.88,--,--,--,-3.63%
2018-02-09,IMGN,"Immunogen, Inc....",357,bmo,-0.07,--,--,--,1.71%
2018-02-09,ARWR,Arrowhead Pharm...,"2,515",--,-0.18,--,--,--,--
2018-02-09,NGL,Ngl Energy Part...,"1,900",bmo,0.19,--,--,--,-17.21%
2018-02-09,ESNT,Essent Group Lt...,"4,833",bmo,0.78,--,--,--,1.22%
2018-02-09,TEN,Tenneco Inc.,592,bmo,1.64,--,--,--,2.06%
2018-02-09,MCO,Moody's Corpora...,"38,191",bmo,1.45,--,--,--,1.64%
2018-02-09,NMRK,"Newmark Group,...","1,663",bmo,0.3,--,--,--,-5.90%
2018-02-09,CAE,Cae Inc,"7,355",bmo,0.22,--,--,--,0.69%
2018-02-09,OCPNY,Olympus Corp.,"15,133",--,0.09,--,--,--,--
2018-02-09,BLX,Banco Latinoame...,825,--,0.55,--,--,--,--
2018-02-09,MPAA,Motorcar Parts...,364,bmo,0.49,--,--,--,-10.20%
2018-02-09,OCSI,Oaktree Strateg...,249,bmo,0.19,--,--,--,0.65%
2018-02-09,BRT,Brt Realty Trus...,209,--,0.21,--,--,--,--
2018-02-09,AGTC,Applied Genetic...,69,bmo,-0.09,--,--,--,-7.06%
2018-02-09,ARCW,Arc Group World...,7,--,-0.02,--,--,--,--
