,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2018-02-13,TWLO,Twilio Inc.,"17,711",amc,-0.06,--,--,--,16.19%
2018-02-13,BIDU,"Baidu, Inc.","40,625",amc,2.05,--,--,--,4.56%
2018-02-13,ONDK,On Deck Capital...,307,bmo,0.05,--,--,--,8.26%
2018-02-13,OHI,Omega Healthcar...,"7,819",amc,0.77,--,--,--,-5.01%
2018-02-13,NRZ,New Residential...,"6,464",bmo,0.54,--,--,--,1.62%
2018-02-13,PEP,"Pepsico, Inc.","186,470",bmo,1.3,--,--,--,0.19%
2018-02-13,FOSL,"Fossil Group, I...",544,amc,0.39,--,--,--,87.72%
2018-02-13,OXY,Occidental Petr...,"36,855",amc,0.4,--,--,--,0.19%
2018-02-13,MET,"Metlife, Inc.","48,184",amc,1.1,--,--,--,3.32%
2018-02-13,ARCC,Ares Capital Co...,"7,725",bmo,0.37,--,--,--,2.12%
2018-02-13,NOA,North American...,265,amc,0.09,--,--,--,-1.09%
2018-02-13,HIMX,Himax Technolog...,606,bmo,0.15,--,--,--,-1.09%
2018-02-13,UAA,"Under Armour, I...","11,682",bmo,0.01,--,--,--,17.36%
2018-02-13,WB,Weibo Corporati...,"9,875",bmo,0.58,--,--,--,9.59%
2018-02-13,AB,Alliancebernste...,"2,870",bmo,0.66,--,--,--,3.74%
2018-02-13,ARCH,Arch Coal Inc.,"1,530",bmo,2.32,--,--,--,1.75%
2018-02-13,APRN,Blue Apron Hold...,95,bmo,-4.05,--,--,--,0.00%
2018-02-13,FANG,Diamondback Ene...,"17,687",amc,1.52,--,--,--,6.78%
2018-02-13,SKT,Tanger Factory...,"1,538",amc,0.63,--,--,--,-7.07%
2018-02-13,GNRC,Generac Holdlin...,"4,430",bmo,1.2,--,--,--,-6.17%
2018-02-13,HUBS,"Hubspot, Inc.","7,427",amc,0.07,--,--,--,6.34%
2018-02-13,NBIX,Neurocrine Bios...,"7,777",amc,0.22,--,--,--,2.02%
2018-02-13,BXMT,"Capital Trust,...","4,781",amc,0.62,--,--,--,2.72%
2018-02-13,LSCC,Lattice Semicon...,"1,990",amc,0.03,--,--,--,-7.78%
2018-02-13,HCP,"Hcp, Inc.","15,620",bmo,0.47,--,--,--,-0.22%
