,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2018-11-27,CRM,"Salesforce.com,...","119,954",amc,0.5,0.61,+0.11 ,+22.00% ,10.27%
2018-11-27,GWPH,Gw Pharmaceutic...,"5,188",amc,-2.48,-2.76,-0.28 ,-11.29% ,-0.16%
2018-11-27,NTNX,Nutanix Inc.,"4,907",amc,-0.27,-0.13,+0.14 ,+51.85% ,5.21%
2018-11-27,BNS,Bank Of Nova Sc...,"66,316",bmo,1.35,1.35,0.00 ,0.00% ,-0.45%
2018-11-27,CBRL,Cracker Barrel...,"4,158",bmo,1.91,1.96,+0.05 ,+2.62% ,4.73%
2018-11-27,BMA,Macro Bank Inc....,"4,776",--,1.4,1.41,+0.01 ,+0.71% ,--
2018-11-27,CENT,Central Garden...,"1,653",amc,0.09,0.10,+0.01 ,+11.11% ,4.54%
2018-11-27,EV,Eaton Vance Cor...,"4,998",bmo,0.85,0.85,0.00 ,0.00% ,-1.44%
2018-11-27,BV,Brightview Hold...,"1,983",amc,0.28,--,--,--,14.52%
2018-11-27,CENTA,Central Garden...,"1,497",amc,0.08,0.10,+0.02 ,+25.00% ,5.03%
2018-11-27,ARCE,Arco Platform L...,"1,016",amc,-0.04,-0.20,-0.16 ,-400.00% ,-0.93%
2018-11-27,HIBB,"Hibbett Sports,...",345,bmo,0.19,0.14,-0.05 ,-26.32% ,0.00%
2018-11-27,OOMA,"Ooma, Inc.",223,amc,-0.06,-0.03,+0.03 ,+50.00% ,14.87%
2018-11-27,VJET,Voxeljet Ag,46,amc,-0.13,-0.24,-0.11 ,-84.62% ,-3.17%
