,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2018-03-27,LULU,Lululemon Athle...,"23,868",amc,1.27,--,--,--,9.21%
2018-03-27,RH,Restoration Har...,"2,252",amc,1.56,--,--,--,22.48%
2018-03-27,SCVL,"Shoe Carnival,...",423,amc,0.07,--,--,--,-5.14%
2018-03-27,MKC,Mccormick & Com...,"21,395",bmo,0.91,--,--,--,0.36%
2018-03-27,INFO,Ihs Markit Ltd....,"25,916",bmo,0.49,--,--,--,1.19%
2018-03-27,FDS,Factset Researc...,"11,298",bmo,2.05,--,--,--,-3.93%
2018-03-27,TEUM,Pareteum Corp.,317,amc,-0.08,--,--,--,-15.58%
2018-03-27,APTO,Aptose Bioscien...,167,amc,-0.11,--,--,--,-14.16%
2018-03-27,ALNA,Allena Pharmace...,103,--,-0.27,--,--,--,--
2018-03-27,CLSN,Celsion Corpora...,36,bmo,-0.29,--,--,--,-4.35%
2018-03-27,FRAN,Francesca's Hol...,15,bmo,2.4,--,--,--,-4.37%
