,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2017-10-19,VZ,Verizon Communi...,"241,153",bmo,0.98,--,--,--,1.15%
2017-10-19,PYPL,Paypal Holdings...,"137,655",amc,0.44,--,--,--,5.53%
2017-10-19,BX,Blackstone Grou...,"31,105",bmo,0.55,--,--,--,1.55%
2017-10-19,ISRG,Intuitive Surgi...,"62,025",amc,1.97,--,--,--,3.39%
2017-10-19,PM,Philip Morris I...,"124,651",bmo,1.39,--,--,--,-3.88%
2017-10-19,TEAM,Atlassian Corpo...,"14,349",amc,0.09,--,--,--,24.65%
2017-10-19,NUE,Nucor Corporati...,"16,858",bmo,0.78,--,--,--,2.34%
2017-10-19,ETFC,E*trade Financi...,"11,292",amc,0.51,--,--,--,-1.12%
2017-10-19,KEY,Keycorp,"18,149",bmo,0.35,--,--,--,-1.78%
2017-10-19,SKX,Skechers U.s.a....,"5,155",amc,0.43,--,--,--,41.45%
2017-10-19,TXT,Textron Inc.,"12,371",bmo,0.62,--,--,--,-0.88%
2017-10-19,TSM,Taiwan Semicond...,"207,080",bmo,0.56,--,--,--,-1.04%
2017-10-19,BBT,Bb&t Corporatio...,"38,250",bmo,0.78,--,--,--,0.43%
2017-10-19,BK,The Bank Of New...,"42,638",bmo,0.93,--,--,--,-2.96%
2017-10-19,TRV,The Travelers C...,"40,259",bmo,0.38,--,--,--,2.42%
2017-10-19,HA,Hawaiian Holdin...,"1,345",amc,1.85,--,--,--,3.87%
2017-10-19,PFPT,"Proofpoint, Inc...","6,935",amc,0.18,--,--,--,1.06%
2017-10-19,WGO,Winnebago Indus...,"1,214",bmo,0.72,--,--,--,3.27%
2017-10-19,DHR,Danaher Corpora...,"103,417",bmo,0.95,--,--,--,4.71%
2017-10-19,EEFT,Euronet Worldwi...,"8,699",bmo,1.6,--,--,--,0.10%
2017-10-19,PPG,"Ppg Industries,...","27,851",bmo,1.52,--,--,--,1.27%
2017-10-19,GPC,Genuine Parts C...,"15,424",bmo,1.28,--,--,--,-8.50%
2017-10-19,CAI,Cai Internation...,432,amc,0.72,--,--,--,18.74%
2017-10-19,SAP,Sap Se,"169,730",bmo,1.14,--,--,--,1.46%
2017-10-19,DGX,Quest Diagnosti...,"13,876",bmo,1.35,--,--,--,1.28%
