,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2019-02-22,COG,Cabot Oil & Gas...,"9,448",bmo,0.58,0.55,-0.03 ,-5.17% ,-1.14%
2019-02-22,WPC,W.p. Carey Inc....,"14,286",bmo,1.33,1.33,0.00 ,0.00% ,0.47%
2019-02-22,HMSY,Hms Holdings Co...,"2,880",bmo,0.25,0.31,+0.06 ,+24.00% ,12.93%
2019-02-22,USM,United States C...,"4,135",bmo,0.14,0.23,+0.09 ,+64.29% ,-12.18%
2019-02-22,W,Wayfair Inc.,"13,322",bmo,-1.3,-1.12,+0.18 ,+13.85% ,27.86%
2019-02-22,RY,Royal Bank Of C...,"115,333",bmo,1.66,1.65,-0.01 ,-0.60% ,0.12%
2019-02-22,TDS,Telephone And D...,"3,730",bmo,0.16,0.14,-0.02 ,-12.50% ,-10.78%
2019-02-22,MGA,Magna Internati...,"15,298",bmo,1.6,1.63,+0.03 ,+1.87% ,3.50%
2019-02-22,OBLN,Obalon Therptcs...,19,bmo,-0.31,-0.39,-0.08 ,-25.81% ,-10.09%
2019-02-22,PNW,Pinnacle West C...,"10,508",bmo,0.17,0.23,+0.06 ,+35.29% ,1.36%
2019-02-22,ITT,Itt Inc.,"5,588",bmo,0.74,0.82,+0.08 ,+10.81% ,4.05%
2019-02-22,HRTX,Heron Therapeut...,"1,461",--,-0.46,-0.63,-0.17 ,-36.96% ,--
2019-02-22,AN,"Autonation, Inc...","3,751",bmo,1.14,1.10,-0.04 ,-3.51% ,-3.00%
2019-02-22,ERF,Enerplus Corpor...,"1,550",bmo,0.29,0.32,+0.03 ,+10.34% ,3.40%
2019-02-22,CNK,Cinemark Holdin...,"4,329",bmo,0.45,0.17,-0.28 ,-62.22% ,3.77%
2019-02-22,B,"Barnes Group, I...","2,713",bmo,0.81,0.84,+0.03 ,+3.70% ,-1.03%
2019-02-22,INSM,"Insmed, Inc.","1,720",bmo,-1.11,-1.17,-0.06 ,-5.41% ,11.42%
2019-02-22,COT,Cott Corporatio...,"1,653",bmo,0.03,0.03,0.00 ,0.00% ,-11.10%
2019-02-22,RCM,R1 Rcm Inc.,"1,407",bmo,0.0,0.01,--,--,3.74%
2019-02-22,VLRS,Controladora Vu...,"1,002",amc,0.09,0.26,+0.17 ,+188.89% ,5.47%
2019-02-22,MNTA,Momenta Pharmac...,947,bmo,-0.46,-0.07,+0.39 ,+84.78% ,8.55%
2019-02-22,BXG,Bluegreen Vacat...,803,bmo,0.23,--,--,--,3.52%
2019-02-22,ASIX,Advansix Inc.,705,bmo,0.77,0.68,-0.09 ,-11.69% ,-1.40%
2019-02-22,RUTH,Ruth's Hospital...,687,bmo,0.49,0.50,+0.01 ,+2.04% ,1.16%
2019-02-22,IRCP,Irsa Propiedade...,662,--,0.35,-4.25,-4.60 ,"-1,314.29% ",--
