,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2019-05-03,D,Dominion Energy...,"61,662",bmo,1.12,1.1,-0.02,-1.79% ,-0.25%
2019-05-03,NMM,Navios Maritime...,200,bmo,-0.6,-0.15,0.45,+75.00% ,0.87%
2019-05-03,NWL,Newell Brands I...,"6,063",bmo,0.06,0.14,0.08,+133.33% ,13.52%
2019-05-03,AMT,American Tower...,"90,862",bmo,1.86,0.89,-0.97,-52.15% ,0.08%
2019-05-03,BIP,Brookfield Infr...,"12,212",bmo,0.84,-0.05,-0.89,-105.95% ,1.46%
2019-05-03,TRP,Transcanada Cor...,"46,932",bmo,0.76,0.8,0.04,+5.26% ,-0.70%
2019-05-03,EQNR,Statoil Asa,"63,280",bmo,0.4,0.46,0.06,+15.00% ,0.69%
2019-05-03,WPC,W.p. Carey Inc....,"14,286",bmo,1.26,0.41,-0.85,-67.46% ,-0.08%
2019-05-03,HMSY,Hms Holdings Co...,"2,880",bmo,0.22,0.28,0.06,+27.27% ,11.67%
2019-05-03,FCAU,Fiat Chrysler A...,"26,199",bmo,0.44,0.41,-0.03,-6.82% ,5.45%
2019-05-03,AFLYY,Air France-klm...,"4,235",--,-0.67,-0.87,-0.2,-29.85% ,--
2019-05-03,DISH,Dish Network Co...,"19,184",bmo,0.65,0.65,0.0,0.00% ,4.40%
2019-05-03,AXL,American Axle &...,"1,314",bmo,0.35,0.36,0.01,+2.86% ,-5.16%
2019-05-03,CBOE,Cboe Global Mar...,"12,828",bmo,0.99,1.11,0.12,+12.12% ,1.08%
2019-05-03,IMGN,"Immunogen, Inc....",348,bmo,-0.31,-0.3,0.01,+3.23% ,15.20%
2019-05-03,AFI,Armstrong Floor...,227,bmo,-0.28,-0.49,-0.21,-75.00% ,-11.75%
2019-05-03,ESNT,Essent Group Lt...,"4,621",bmo,1.28,1.3,0.02,+1.56% ,0.02%
2019-05-03,NBL,Noble Energy In...,"10,134",bmo,-0.08,-0.09,-0.01,-12.50% ,-2.16%
2019-05-03,CIO,City Office Rei...,476,bmo,0.26,-0.07,-0.33,-126.92% ,4.03%
2019-05-03,ADDYY,Adidas Ag,"62,408",bmo,1.6,1.8,0.2,+12.50% ,9.20%
2019-05-03,KOP,Koppers Holding...,545,bmo,0.57,0.62,0.05,+8.77% ,9.86%
2019-05-03,VIRT,Virtu Financial...,"4,186",bmo,0.4,0.34,-0.06,-15.00% ,-3.17%
2019-05-03,XRAY,Dentsply Sirona...,"13,260",bmo,0.38,0.49,0.11,+28.95% ,6.89%
2019-05-03,TWI,Titan Internati...,242,bmo,0.15,0.02,-0.13,-86.67% ,-15.69%
2019-05-03,OPI,Government Prop...,"1,263",bmo,1.37,0.71,-0.66,-48.18% ,8.02%
