,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2018-09-05,CLDR,"Cloudera, Inc.","1,437",amc,-0.15,-0.08,+0.07 ,+46.67% ,24.43%
2018-09-05,AVAV,"Aerovironment,...","1,348",amc,0.06,0.59,+0.53 ,+883.33% ,14.25%
2018-09-05,MDB,"Mongodb, Inc.","8,626",amc,-0.45,--,--,--,9.18%
2018-09-05,OLLI,Ollie's Bargain...,"5,380",amc,0.37,0.40,+0.03 ,+8.11% ,-0.62%
2018-09-05,ZS,"Zscaler, Inc.","10,437",amc,-0.05,--,--,--,-4.99%
2018-09-05,DOCU,Docusign Inc.,"9,065",amc,0.01,--,--,--,-8.32%
2018-09-05,BAYRY,Bayer Aktienges...,"63,708",--,0.48,0.46,-0.02 ,-4.17% ,--
2018-09-05,GFN,General Finance...,247,bmo,-0.04,0.00,+0.04 ,+100.00% ,-0.37%
2018-09-05,SCWX,Secureworks Cor...,"1,021",bmo,-0.06,-0.01,+0.05 ,+83.33% ,4.03%
2018-09-05,VRNT,Verint Systems...,"3,640",amc,0.63,0.76,+0.13 ,+20.63% ,9.53%
2018-09-05,CTRP,Ctrip.com Inter...,"20,859",amc,0.19,0.29,+0.10 ,+52.63% ,5.44%
2018-09-05,HDS,Hd Supply Holdi...,"6,825",bmo,0.96,0.99,+0.03 ,+3.13% ,-1.87%
2018-09-05,DLTH,Duluth Holdings...,409,bmo,0.14,0.20,+0.06 ,+42.86% ,13.32%
2018-09-05,GWRE,Guidewire Softw...,"8,362",amc,0.76,0.81,+0.05 ,+6.58% ,2.04%
2018-09-05,CWK,Cushman & Wakef...,"3,924",amc,0.46,--,--,--,2.68%
2018-09-05,DSGX,The Descartes S...,"3,139",amc,0.1,0.11,+0.01 ,+10.00% ,-1.02%
2018-09-05,TENB,Tenable Holding...,"2,817",amc,-0.2,--,--,--,-4.59%
2018-09-05,REVG,"Rev Group, Inc....",877,amc,0.46,0.38,-0.08 ,-17.39% ,-12.25%
2018-09-05,VRA,"Vera Bradley, I...",391,bmo,0.17,0.26,+0.09 ,+52.94% ,14.77%
2018-09-05,SEAC,Seachange Inter...,51,--,-0.17,-0.21,-0.04 ,-23.53% ,--
