,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2019-04-16,NFLX,"Netflix, Inc.","137,768",amc,0.57,0.76,+0.19 ,+33.33% ,-1.31%
2019-04-16,BAC,Bank Of America...,"279,541",bmo,0.65,0.70,+0.05 ,+7.69% ,0.13%
2019-04-16,JNJ,Johnson & Johns...,"345,980",bmo,2.03,2.10,+0.07 ,+3.45% ,1.10%
2019-04-16,IBM,International B...,"132,713",amc,2.21,2.25,+0.04 ,+1.81% ,-4.15%
2019-04-16,UNH,Unitedhealth Gr...,"243,906",bmo,3.6,3.73,+0.13 ,+3.61% ,-4.01%
2019-04-16,PGR,The Progressive...,"46,707",bmo,1.38,1.83,+0.45 ,+32.61% ,6.92%
2019-04-16,CSX,Csx Corporation...,"56,120",amc,0.91,1.02,+0.11 ,+12.09% ,4.02%
2019-04-16,UAL,United Airlines...,"24,107",amc,0.94,1.15,+0.21 ,+22.34% ,4.78%
2019-04-16,BLK,"Blackrock, Inc....","73,126",bmo,6.2,6.61,+0.41 ,+6.61% ,3.25%
2019-04-16,MLNX,Mellanox Techno...,"6,112",amc,1.45,1.59,+0.14 ,+9.66% ,0.36%
2019-04-16,CMA,Comerica Incorp...,"10,895",bmo,1.94,2.08,+0.14 ,+7.22% ,0.56%
2019-04-16,PACW,Pacwest Bancorp...,"4,472",--,0.91,0.92,+0.01 ,+1.10% ,--
2019-04-16,PLD,"Prologis, Inc.","50,930",bmo,0.72,0.73,+0.01 ,+1.39% ,-1.30%
2019-04-16,IBKR,Interactive Bro...,"20,503",amc,0.43,0.64,+0.21 ,+48.84% ,-2.11%
2019-04-16,OMC,Omnicom Group I...,"17,350",bmo,1.08,1.17,+0.09 ,+8.33% ,5.66%
2019-04-16,FULT,Fulton Financia...,"2,807",amc,0.33,0.33,0.00 ,0.00% ,0.00%
2019-04-16,WIT,Wipro Limited,"25,033",bmo,0.07,0.06,-0.01 ,-14.29% ,-3.42%
2019-04-16,FHN,First Horizon N...,"5,030",bmo,0.35,0.35,0.00 ,0.00% ,2.93%
2019-04-16,HWC,Hancock Whitney...,"3,461",amc,0.98,1.00,+0.02 ,+2.04% ,-1.91%
2019-04-16,WSBC,"Wesbanco, Inc.","2,051",amc,0.81,--,--,--,-2.87%
2019-04-16,HOPE,"Hope Bancorp, I...","1,815",amc,0.34,0.34,0.00 ,0.00% ,-0.99%
2019-04-16,MRTN,Marten Transpor...,"1,105",--,0.24,0.25,+0.01 ,+4.17% ,--
2019-04-16,UBNK,United Financia...,721,amc,0.26,0.23,-0.03 ,-11.54% ,-9.44%
2019-04-16,NCBS,Nicolet Banksha...,598,--,1.03,1.05,+0.02 ,+1.94% ,--
2019-04-16,MBWM,Mercantile Bank...,525,bmo,0.6,0.61,+0.01 ,+1.67% ,0.44%
