,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
0,TWTR,"Twitter, Inc.","27,863",bmo,0.25,0.31,+0.06 ,+24.00% ,-9.84%
1,MPC,Marathon Petrol...,"36,358",bmo,1.98,2.41,+0.43 ,+21.72% ,-4.74%
2,PM,Philip Morris I...,"124,651",bmo,1.16,1.25,+0.09 ,+7.76% ,1.62%
3,EGAN,Egain Corporati...,242,amc,0.01,0.08,+0.07 ,+700.00% ,47.72%
4,GRUB,Grubhub Inc.,"7,099",bmo,0.28,0.19,-0.09 ,-32.14% ,-2.00%
5,MCFT,Mastercraft Boa...,393,amc,0.59,0.64,+0.05 ,+8.47% ,-9.91%
6,CAH,Cardinal Health...,"14,375",bmo,1.09,1.29,+0.20 ,+18.35% ,6.81%
7,MPW,Medical Propert...,"7,214",bmo,0.31,0.31,0.00 ,0.00% ,2.91%
8,MPLX,Mplx Lp,"25,824",bmo,0.68,0.52,-0.16 ,-23.53% ,-3.46%
9,HBI,Hanesbrands Inc...,"6,282",bmo,0.47,0.48,+0.01 ,+2.13% ,20.17%
10,TOT,Total S.a.,"138,114",--,1.22,1.17,-0.05 ,-4.10% ,--
11,TMUS,"T-mobile Us, In...","65,124",bmo,0.69,0.75,+0.06 ,+8.70% ,2.00%
12,ICE,Intercontinenta...,"50,477",bmo,0.92,0.94,+0.02 ,+2.17% ,-2.38%
13,LGND,Ligand Pharmace...,"2,300",amc,1.27,1.70,+0.43 ,+33.86% ,-1.75%
14,SKX,Skechers U.s.a....,"5,155",amc,0.23,0.31,+0.08 ,+34.78% ,15.20%
15,IAC,Iac/interactive...,"19,072",amc,0.99,1.03,+0.04 ,+4.04% ,0.01%
16,DXC,Dxc Technology...,"15,043",amc,2.04,2.23,+0.19 ,+9.31% ,7.12%
17,ANGI,Angi Homeservic...,"6,549",amc,0.11,0.11,0.00 ,0.00% ,-1.82%
18,FCAU,Fiat Chrysler A...,"27,669",bmo,1.02,1.19,+0.17 ,+16.67% ,-12.22%
19,TSN,"Tyson Foods, In...","30,160",bmo,1.55,1.58,+0.03 ,+1.94% ,-1.28%
20,YUM,"Yum! Brands, In...","33,731",bmo,0.97,0.40,-0.57 ,-58.76% ,0.02%
21,K,Kellogg Company...,"18,990",bmo,0.88,0.91,+0.03 ,+3.41% ,-5.61%
22,CDW,Cdw Corporation...,"16,616",bmo,1.20,1.32,+0.12 ,+10.00% ,6.66%
23,WWE,World Wrestling...,"5,865",bmo,0.32,0.44,+0.12 ,+37.50% ,4.70%
24,SNY,Sanofi,"108,291",bmo,0.62,0.63,+0.01 ,+1.61% ,-2.03%
