,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
0,ROKU,"Roku, Inc.","12,119",amc,-0.24,-0.09,+0.15 ,+62.50% ,28.11%
1,DIS,The Walt Disney...,"251,688",amc,1.59,1.61,+0.02 ,+1.26% ,-1.04%
2,HEAR,Turtle Beach Co...,146,amc,0.03,0.13,+0.10 ,+333.33% ,-1.76%
3,CHK,Chesapeake Ener...,"2,647",bmo,0.15,0.14,-0.01 ,-6.67% ,3.96%
4,CTL,"Centurylink, In...","12,397",amc,0.27,0.34,+0.07 ,+25.93% ,-4.99%
5,ET,Energy Transfer...,"39,553",amc,0.36,0.37,+0.01 ,+2.78% ,-1.33%
6,ETSY,"Etsy, Inc.","7,914",amc,0.14,0.24,+0.10 ,+71.43% ,-10.75%
7,MPC,Marathon Petrol...,"36,603",bmo,0.01,-0.09,-0.10 ,"-1,000.00% ",-7.07%
8,VRS,Verso Corporati...,588,bmo,0.35,1.03,+0.68 ,+194.29% ,-0.53%
9,FOSL,"Fossil Group, I...",528,amc,-0.53,-0.42,+0.11 ,+20.75% ,13.18%
10,PSEC,Prospect Capita...,"2,448",amc,0.21,0.21,0.00 ,0.00% ,0.45%
11,MEET,"Meetme, Inc.",267,bmo,0.09,0.09,0.00 ,0.00% ,-12.74%
12,ALB,Albemarle Corpo...,"7,891",amc,1.21,1.23,+0.02 ,+1.65% ,0.04%
13,EGAN,Egain Corporati...,238,amc,0.03,0.06,+0.03 ,+100.00% ,-14.00%
14,CCR,Consol Coal Res...,431,bmo,0.45,0.54,+0.09 ,+20.00% ,-1.83%
15,AAOI,Applied Optoele...,191,amc,-0.21,-0.27,-0.06 ,-28.57% ,-9.37%
16,STWD,Starwood Proper...,"6,458",bmo,0.53,0.28,-0.25 ,-47.17% ,-2.48%
17,MPLX,Mplx Lp,"24,569",bmo,0.59,0.61,+0.02 ,+3.39% ,-3.57%
18,ACRX,Acelrx Pharmace...,215,amc,-0.23,-0.17,+0.06 ,+26.09% ,-9.40%
19,TCP,"Tc Pipelines, L...","2,815",bmo,1.12,1.28,+0.16 ,+14.29% ,3.51%
20,NKTR,Nektar Therapeu...,"5,573",amc,-0.71,-0.68,+0.03 ,+4.23% ,7.49%
21,HMC,Honda Motor Co....,"46,022",bmo,0.53,-0.07,-0.60 ,-113.21% ,-3.08%
22,STMP,Stamps.com Inc....,784,amc,1.07,1.23,+0.16 ,+14.95% ,-55.75%
23,UUUU,Energy Fuels In...,185,--,-0.03,-0.13,-0.10 ,-333.33% ,--
24,PLUG,"Plug Power, Inc...",567,bmo,-0.08,-0.15,-0.07 ,-87.50% ,-2.02%
