,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2019-05-13,TTWO,Take-two Intera...,"13,062",amc,0.77,0.86,0.09,+11.69% ,3.54%
2019-05-13,BILI,Bilibili Inc. S...,"4,328",amc,-0.13,-0.07,0.06,+46.15% ,-5.06%
2019-05-13,CTEK,"Cynergistek, In...",47,bmo,-0.07,-0.09,-0.02,-28.57% ,0.88%
2019-05-13,CRMD,Cormedix Inc,216,amc,-0.29,-0.22,0.07,+24.14% ,-4.50%
2019-05-13,GAIN,Gladstone Inves...,366,amc,0.2,0.23,0.03,+15.00% ,-0.66%
2019-05-13,CPRX,Catalyst Pharma...,417,bmo,-0.13,-0.01,0.12,+92.31% ,0.64%
2019-05-13,STNE,Stoneco Ltd.,"9,639",amc,0.16,0.18,0.02,+12.50% ,-0.04%
2019-05-13,OGEN,"Oragenics, Inc....",21,--,-0.08,-0.11,-0.03,-37.50% ,--
2019-05-13,SA,"Seabridge Gold,...",882,--,-0.03,-0.05,-0.02,-66.67% ,--
2019-05-13,SESN,"Sesen Bio, Inc....",98,--,-0.08,-0.08,0.0,0.00% ,--
2019-05-13,TME,Tencent Music E...,"23,485",amc,0.1,0.11,0.01,+10.00% ,-6.19%
2019-05-13,CPLP,Capital Product...,207,bmo,0.31,-0.1,-0.41,-132.26% ,-3.01%
2019-05-13,CWCO,Consolidated Wa...,215,bmo,0.19,0.2,0.01,+5.26% ,0.08%
2019-05-13,LM,"Legg Mason, Inc...","3,299",amc,0.53,0.7,0.17,+32.08% ,4.39%
2019-05-13,STE,Steris Plc,"12,366",amc,1.44,1.53,0.09,+6.25% ,4.45%
2019-05-13,MIME,Mimecast Limite...,"2,959",amc,0.09,0.07,-0.02,-22.22% ,-2.95%
2019-05-13,CEPU,Central Puerto...,"1,390",amc,0.34,0.21,-0.13,-38.24% ,-5.52%
2019-05-13,ALEC,"Alector, Inc.","1,298",--,-0.3,-0.42,-0.12,-40.00% ,--
2019-05-13,KRNT,Kornit Digital...,"1,190",amc,0.06,0.03,-0.03,-50.00% ,-0.91%
2019-05-13,HOLI,Hollysys Automa...,"1,073",amc,0.39,0.46,0.07,+17.95% ,1.45%
2019-05-13,FIXX,Homology Medici...,907,--,-0.55,-0.64,-0.09,-16.36% ,--
2019-05-13,IIIV,"I3 Verticals, I...",729,amc,0.19,0.2,0.01,+5.26% ,2.28%
2019-05-13,NESR,National Energy...,708,bmo,0.2,0.15,-0.05,-25.00% ,-1.26%
2019-05-13,CRNX,Crinetics Pharm...,574,--,-0.39,-0.37,0.02,+5.13% ,--
2019-05-13,NVGS,Navigator Holdi...,571,amc,0.04,-0.06,-0.1,-250.00% ,-4.37%
