,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2019-04-01,CBD,Companhia Brasi...,"6,464",--,0.3,--,--,--,--
2019-04-01,SOLO,Electrameccanic...,106,--,-0.12,--,--,--,--
2019-04-01,MAG,Mag Silver Corp...,979,--,-0.01,-0.04,-0.03 ,-300.00% ,--
2019-04-01,CTRA,Contura Energy,751,bmo,4.3,9.85,+5.55 ,+129.07% ,1.50%
2019-04-01,NVGS,Navigator Holdi...,571,bmo,0.03,-0.02,-0.05 ,-166.67% ,1.73%
2019-04-01,LAC,Lithium America...,352,--,-0.07,--,--,--,--
2019-04-01,LOGC,Logicbio Therap...,286,--,-0.47,--,--,--,--
2019-04-01,GRWG,Growgeneration...,132,amc,-0.03,--,--,--,0.33%
2019-04-01,OCX,Oncocyte Corpor...,107,amc,-0.09,-0.11,-0.02 ,-22.22% ,-2.35%
2019-04-01,IWSY,Imageware Syste...,87,amc,-0.03,-0.05,-0.02 ,-66.67% ,-6.67%
2019-04-01,SSKN,Strata Skin Sci...,79,--,-0.01,--,--,--,--
2019-04-01,BLNK,Blink Charging...,67,--,-0.13,--,--,--,--
2019-04-01,FSI,Flexible Soluti...,45,amc,0.03,-0.02,-0.05 ,-166.67% ,-1.28%
2019-04-01,LPTX,Leap Therapeuti...,45,--,-0.63,-0.50,+0.13 ,+20.63% ,--
2019-04-01,MARK,"Remark Media, I...",39,--,-0.09,-0.31,-0.22 ,-244.44% ,--
2019-04-01,GNPX,Genprex Inc,18,--,-0.18,--,--,--,--
2019-04-01,CLGN,Collplant Holdi...,17,--,-0.54,--,--,--,--
2019-04-01,SGLB,"Sigma Labs, Inc...",14,bmo,-0.14,-0.19,-0.05 ,-35.71% ,-12.50%
2019-04-01,CYTR,Cytrx Corporati...,12,--,-0.07,--,--,--,--
2019-04-01,ALRN,Aileron Therape...,8,--,-0.51,--,--,--,--
2019-04-01,SNEC,Sanchez Energy...,7,--,-0.16,--,--,--,--
2019-04-01,EFOI,"Energy Focus, I...",5,amc,-0.15,-0.24,-0.09 ,-60.00% ,-55.65%
2019-04-01,IPWR,Ideal Power Inc...,5,amc,-0.13,--,--,--,2.47%
2019-04-01,INNV,Innovus Pharmac...,4,--,-1.11,-0.99,+0.12 ,+10.81% ,--
2019-04-01,LEAI,Legacy Educatio...,4,--,0.02,--,--,--,--
