,symbol,company,cap,timing,est,report,surp,pct_surp,pct_ret
2017-11-30,ULTA,Ulta Beauty Inc...,"20,165",amc,1.67,--,--,--,-4.12%
2017-11-30,FIVE,"Five Below, Inc...","7,133",amc,0.13,--,--,--,-0.47%
2017-11-30,KR,The Kroger Co.,"17,374",bmo,0.4,--,--,--,6.07%
2017-11-30,VMW,"Vmware, Inc.","69,230",amc,1.27,--,--,--,3.61%
2017-11-30,TITN,Titan Machinery...,430,bmo,0.08,--,--,--,13.70%
2017-11-30,NTNX,Nutanix Inc.,"4,907",amc,-0.26,--,--,--,9.94%
2017-11-30,TD,Toronto Dominio...,"108,684",bmo,1.11,--,--,--,-2.47%
2017-11-30,EXPR,"Express, Inc.",176,bmo,0.08,--,--,--,5.64%
2017-11-30,AMBA,"Ambarella, Inc....","1,457",amc,0.66,--,--,--,14.30%
2017-11-30,CM,Canadian Imperi...,"35,546",bmo,2.05,--,--,--,2.78%
2017-11-30,MIK,The Michaels Co...,"1,261",bmo,0.43,--,--,--,11.63%
2017-11-30,YEXT,Yext Inc.,"2,243",amc,-0.13,--,--,--,-5.73%
2017-11-30,ZUMZ,Zumiez Inc.,667,amc,0.48,--,--,--,-8.49%
2017-11-30,ALTR,Altair Engineer...,"2,956",amc,0.04,--,--,--,4.78%
2017-11-30,GLNG,Golar Lng Limit...,"1,836",--,-0.36,--,--,--,--
2017-11-30,BKS,"Barnes & Noble,...",484,bmo,-0.23,--,--,--,-11.54%
2017-11-30,PFLT,Pennantpark Flo...,452,amc,0.34,--,--,--,-1.07%
2017-11-30,DCI,Donaldson Compa...,"6,360",bmo,0.42,--,--,--,2.89%
2017-11-30,AVAL,Grupo Aval Acci...,"2,928",--,0.13,--,--,--,--
2017-11-30,AMSWA,American Softwa...,416,amc,0.07,--,--,--,-7.20%
2017-11-30,MRUS,Merus N.v.,331,--,-0.69,--,--,--,--
2017-11-30,TNP,Tsakos Energy N...,294,bmo,-0.09,--,--,--,-7.25%
2017-11-30,CULP,"Culp, Inc.",235,--,0.33,--,--,--,--
2017-11-30,UTI,Universal Techn...,94,amc,0.03,--,--,--,-22.01%
